A,0,0,7,5
B,7,0,7,5
C,14,0,7,5
D,21,0,7,5
E,28,0,7,5
F,35,0,7,5
G,42,0,7,5
H,49,0,7,5
I,56,0,7,3
J,63,0,7,4
K,70,0,7,5
L,77,0,7,4
M,84,0,7,7
N,91,0,7,7
O,98,0,7,5
P,105,0,7,5
Q,112,0,7,5
R,119,0,7,5
S,126,0,7,5
T,133,0,7,5
U,140,0,7,5
V,147,0,7,7
W,154,0,7,9
X,161,0,7,5
Y,168,0,7,5
Z,175,0,7,5
1,182,0,7,3
2,189,0,7,4
3,196,0,7,4
4,203,0,7,5
5,210,0,7,4
6,217,0,7,4
7,224,0,7,4
8,231,0,7,4
9,238,0,7,4
0,245,0,7,4
